Date,Open,High,Low,Close,Adj Close,Volume
2023-06-28,1842.400024,1872.500000,1833.000000,1860.949951,1840.526978,3532066
2023-06-30,1865.949951,1903.375000,1850.500000,1896.250000,1875.439697,3494638
2023-07-03,1904.574951,1905.525024,1880.800049,1885.025024,1864.337891,1383142
2023-07-04,1885.025024,1892.500000,1857.500000,1861.050049,1840.625977,1414468
2023-07-05,1860.974976,1874.500000,1845.000000,1867.449951,1846.955688,1597660
2023-07-06,1870.000000,1882.400024,1853.500000,1865.525024,1845.051758,1736726
2023-07-07,1860.000000,1892.400024,1855.000000,1879.750000,1859.120728,3145996
2023-07-10,1891.800049,1900.000000,1870.525024,1888.224976,1867.502563,1850612
2023-07-11,1897.925049,1972.500000,1895.425049,1958.724976,1937.228882,6498242
2023-07-12,1966.974976,1966.974976,1907.625000,1921.925049,1900.832886,3088386
2023-07-13,1931.000000,1949.324951,1910.000000,1927.000000,1905.852051,2637038
2023-07-14,1928.250000,1933.500000,1887.599976,1918.349976,1897.296997,2389776
2023-07-17,1928.000000,1956.500000,1901.849976,1907.849976,1886.912231,2722208
2023-07-18,1914.000000,1937.500000,1906.250000,1925.125000,1903.997803,1759552
2023-07-19,1926.949951,1942.000000,1921.525024,1930.449951,1909.264160,1581708
2023-07-20,1930.000000,1933.474976,1907.775024,1918.474976,1897.420654,1073984
2023-07-21,1925.150024,1947.000000,1921.500000,1927.224976,1906.074707,1781184
2023-07-24,1934.175049,1959.449951,1925.000000,1942.625000,1921.305664,1896302
2023-07-25,1949.500000,1952.500000,1914.025024,1918.175049,1897.124023,1092930
2023-07-26,1923.900024,1935.000000,1914.324951,1929.300049,1908.126953,680048
2023-07-27,1930.000000,1933.949951,1918.000000,1926.474976,1905.332886,807498
2023-07-28,1925.000000,1974.500000,1915.550049,1964.500000,1942.940552,2743224
2023-07-31,1972.000000,1999.449951,1969.500000,1980.750000,1959.012329,2155884
2023-08-01,1983.500000,1987.175049,1927.525024,1932.949951,1911.736816,1689700
